id,from,to,weight,relation
1,1,2,4,1
2,1,3,4,1
3,1,4,4,1
4,1,5,4,1
5,1,6,4,1
6,1,7,4,1
7,1,8,4,1
8,2,3,4,1
9,2,4,4,1
10,2,5,4,1
11,2,6,4,1
12,2,7,4,1
13,2,8,4,1
14,3,4,4,1
15,3,5,4,1
16,3,6,4,1
17,3,7,4,1
18,3,8,4,1
19,4,5,4,1
20,4,6,4,1
21,4,7,4,1
22,4,8,4,1
23,5,6,4,1
24,5,7,4,1
25,5,8,4,1
26,6,7,4,1
27,6,8,4,1
28,7,8,4,1
29,1,9,4,2
30,1,10,1,4
31,1,11,1,4
32,1,19,2,3
33,2,1,4,1
34,3,17,4,3
35,4,18,3,3
36,4,19,3,3
37,4,23,3,3
38,4,24,3,3
39,5,14,3,3
40,5,15,3,3
41,5,16,4,3
42,5,25,1,4
43,5,26,1,4
44,5,27,1,4
45,5,28,1,4
46,8,18,1,4
47,5,10,4,1
48,5,32,3,3
49,4,20,4,1
50,5,29,1,3
